url,title,place,city,date
https://www.ticket360.com.br/evento/31327/ingressos-para-mauricio-manieri-classics-super-hits,Maurício Manieri Classics Super Hits,Espaço Unimed,São Paulo / SP,07 DEZ • DOM
https://www.ticket360.com.br/evento/31246/ingressos-para-simone-mendes,Simone Mendes,Villa Country,São Paulo / SP,12 DEZ • SEX
https://www.ticket360.com.br/evento/31017/ingressos-para-armandinho,Armandinho,Audio,São Paulo / SP,13 DEZ • SÁB
https://www.ticket360.com.br/evento/31269/ingressos-para-festa-do-branco-com-panda,Festa do Branco com Panda,Villa Country,São Paulo / SP,21 DEZ • DOM
https://www.ticket360.com.br/evento/31049/ingressos-para-pacote-reveillon-manaca-2026,Pacote Réveillon Manacá 2026,Mentari Ocean Club,São Sebastião / SP,28 DEZ • DOM
https://www.ticket360.com.br/evento/31197/ingressos-para-reveillon-maravilha-2026,Réveillon Maravilha 2026,MAM RIO,Rio de Janeiro / RJ,31 DEZ • QUA
https://www.ticket360.com.br/evento/31430/ingressos-para-eduardo-costa,Eduardo Costa,Villa Country,São Paulo / SP,23 JAN • SEX
https://www.ticket360.com.br/evento/31173/ingressos-para-lauana-prado,Lauana Prado,Villa Country,São Paulo / SP,29 JAN • QUI
https://www.ticket360.com.br/evento/31363/ingressos-para-claudia-leitte-turne-intemporal,Claudia Leitte Turnê Intemporal,Vivo Rio,Rio de Janeiro / RJ,13 MAR • SEX
https://www.ticket360.com.br/evento/31382/ingressos-para-mahau-7-anos-com-hariel-negao-original-e-bruno-diegues,"Mahau 7 Anos com Hariel, Negão Original e Bruno Diegues",Audio,São Paulo / SP,23 JUL • QUA
https://www.ticket360.com.br/evento/31146/ingressos-para-quinta-feira-no-villa-country,Quinta-Feira no Villa Country,Villa Country,São Paulo / SP,24 JUL • QUI
https://www.ticket360.com.br/evento/30631/ingressos-para-marcos-e-belutti,Marcos & Belutti,Espaço Unimed,São Paulo / SP,25 JUL • SEX
https://www.ticket360.com.br/evento/30943/ingressos-para-val-pinheiro,Val Pinheiro,Villa Country,São Paulo / SP,25 JUL • SEX
https://www.ticket360.com.br/evento/31061/ingressos-para-arraia-da-maiara-e-maraisa,Arraiá da Maiara & Maraisa,CTN,São Paulo / SP,25 JUL • SEX
https://www.ticket360.com.br/evento/31056/ingressos-para-ivan-lins-80-anos,Ivan Lins 80 Anos,Vivo Rio,Rio de Janeiro / RJ,26 JUL • SÁB
https://www.ticket360.com.br/evento/31147/ingressos-para-sabado-no-villa-country,Sábado no Villa Country,Villa Country,São Paulo / SP,26 JUL • SÁB
https://www.ticket360.com.br/evento/31314/ingressos-para-feijoada-de-jorge,Feijoada de Jorge,Varanda Estaiada,São Paulo / SP,27 JUL • DOM
https://www.ticket360.com.br/evento/30517/ingressos-para-luau-na-maoli-com-planta-raiz,Luau na Maoli com Planta & Raiz,Arena Maoli,São Paulo / SP,27 JUL • DOM
https://www.ticket360.com.br/evento/31399/ingressos-para-sunset-mii-rooftop-all-black-com-dre-guazzelli-e-eme,Sunset MII Rooftop All Black com Dre Guazzelli & Eme,Mii Rooftop,São Paulo / SP,27 JUL • DOM
