artist,url,location,date
COTIA RODEIO FEST 2025,https://www.eventim.com.br/event/cotia-rodeio-fest-2025-aerodromo-nascimento-cotia-rodeio-fest-20385210/,Cotia - Sp,"sex. 22/08/2025, 20:00"
COTIA RODEIO FEST 2025,https://www.eventim.com.br/event/cotia-rodeio-fest-2025-aerodromo-nascimento-cotia-rodeio-fest-20385981/,Cotia - Sp,"sáb. 23/08/2025, 20:00"
COTIA RODEIO FEST 2025,https://www.eventim.com.br/event/cotia-rodeio-fest-2025-aerodromo-nascimento-cotia-rodeio-fest-20385979/,Cotia - Sp,"sex. 29/08/2025, 20:00"
SÃO CARLOS RODEIO FEST 2025,https://www.eventim.com.br/event/sao-carlos-rodeio-fest-2025-avenida-getulio-vargas-na-rotatoria-20385991/,São Carlos - Sp,"sex. 08/08/2025, 18:59"
SÃO CARLOS RODEIO FEST 2025,https://www.eventim.com.br/event/sao-carlos-rodeio-fest-2025-avenida-getulio-vargas-na-rotatoria-20385416/,São Carlos - Sp,"sex. 08/08/2025, 19:00"
SÃO CARLOS RODEIO FEST 2025,https://www.eventim.com.br/event/sao-carlos-rodeio-fest-2025-avenida-getulio-vargas-na-rotatoria-20385982/,São Carlos - Sp,"sáb. 09/08/2025, 19:00"
VALE RODEIO SHOW,https://www.eventim.com.br/event/vale-rodeio-show-vale-rodeio-show-20385995/,São José dos Campos - Sp,"sex. 19/09/2025, 17:59"
VALE RODEIO SHOW,https://www.eventim.com.br/event/vale-rodeio-show-vale-rodeio-show-20385491/,São José dos Campos - Sp,"sex. 19/09/2025, 18:00"
VALE RODEIO SHOW,https://www.eventim.com.br/event/vale-rodeio-show-vale-rodeio-show-20385986/,São José dos Campos - Sp,"sáb. 20/09/2025, 20:00"
ITAQUÁ RODEIO FEST 2025,https://www.eventim.com.br/event/itaqua-rodeio-fest-2025-itaqua-rodeio-fest-20385994/,Itaquaquecetuba - Sp,"sex. 05/09/2025, 19:59"
ITAQUÁ RODEIO FEST 2025,https://www.eventim.com.br/event/itaqua-rodeio-fest-2025-itaqua-rodeio-fest-20385382/,Itaquaquecetuba - Sp,"sex. 05/09/2025, 20:00"
ITAQUÁ RODEIO FEST 2025,https://www.eventim.com.br/event/itaqua-rodeio-fest-2025-itaqua-rodeio-fest-20385975/,Itaquaquecetuba - Sp,"sáb. 06/09/2025, 12:00"
